Time,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24
714.0,4031.162037906225,3472.555367419036,3143.908620449193,4279.436635686612,1272.692767513242,1911.751985718285,2047.0822744313868,433.47571503663977,2001.7917035126077,1678.447938637504,1634.1240160551552,3126.308736187703,919.8365492820267,2162.7581266334023,2814.1403596512982,1907.9539955837568,3945.218927201271,3716.7040730738045,2882.0661795968917,1941.8488120069414,3740.506400703726,2194.3345043962404,1384.6016077073443,1724.4135495420603,4004.1158610268276,3326.156769796761,3957.338192624921,2918.0265417053192,1321.8547613945102,2040.604484272672,2250.69374932101,4073.4906964355823,3784.4717590383884,1481.5773574564541,2003.6730370960001,1896.751461847063,3842.343670974371,3748.9280788496108,1571.6185048929917,4484.256817069965,3944.159687096602,3717.0358594221957,1408.4456932245225,1785.0743727958097,3901.0351906814985,2460.290643066071,1679.9434842537858,3029.4279804166563,3649.4326558911775,2840.8867586425195
715.0,4028.166892642676,3472.3847659822304,3144.9413097895094,4282.253291989109,1270.0058238253457,1910.4176942890706,2046.4447220057466,430.5442432382831,1999.7136837491635,1676.2841840620645,1631.7046251587412,3128.0825872779437,916.8812758076666,2162.2420271354913,2815.688556306015,1905.384348308677,3947.561867671308,3718.57774058803,2883.6143762516085,1939.2791647318618,3743.5031874616902,2194.1956911141374,1381.945070582668,1723.019702166909,4001.1207157632784,3325.9861683599556,3959.815787009141,2919.7181462889266,1319.167817706614,2039.2701928434576,2250.8273329833432,4076.4877208607677,3787.0540618216505,1480.0503629130599,2001.3322598021132,1894.8750925709278,3844.6866112823413,3750.8017465664934,1570.3186682228215,4486.960596763446,3946.502627238169,3718.909527347158,1405.7891560998462,1783.6805254206583,3904.030859735452,2460.451785609139,1677.5240933573718,3031.201831506897,3652.345780662006,2841.6034901610014
716.0,4025.171747379127,3472.214164545425,3145.9739991298256,4285.069948291606,1267.3188801374495,1909.0834028598563,2045.8071695801063,427.61277143992646,1997.6356639857192,1674.120429486625,1629.2852342623273,3129.8564383681846,913.9260023333065,2161.7259276375803,2817.236752960732,1902.8147010335974,3949.904808127083,3720.4514081200887,2885.1625729063253,1936.7095174567821,3746.4999742196546,2194.0568778320344,1379.2885334579917,1721.6258547917575,3998.1255704997293,3325.81556692315,3962.293381393361,2921.409750872534,1316.4808740187177,2037.9359014142433,2250.9609166456767,4079.484745285953,3789.6363646049126,1478.5233683696656,1998.9914825082262,1892.9987232947926,3847.02955159049,3752.6754142831533,1569.0188315526514,4489.664376456927,3948.845567394741,3720.783195253358,1403.1326189751699,1782.286678045507,3907.0265287894053,2460.6129281522067,1675.104702460958,3032.975682597138,3655.258905432834,2842.3202216794834
717.0,4022.1766021155777,3472.0435631086193,3147.006688470142,4287.886604594103,1264.6319364495532,1907.749111430642,2045.169617154466,424.6812996415698,1995.557644222275,1671.9566749111855,1626.8658433659134,3131.6302894584255,910.9707288589465,2161.2098281396693,2818.7849496154486,1900.2450537585178,3952.2477485698673,3722.325075668392,2886.710769561042,1934.1398701817025,3749.496760977619,2193.9180645499314,1376.6319963333153,1720.2320074166062,3995.13042523618,3325.6449654863445,3964.770975777581,2923.1013554561414,1313.7939303308215,2036.601609985029,2251.09450030801,4082.4817697111384,3792.2186673881747,1476.9963738262713,1996.6507052143393,1891.1223540186575,3849.372491898801,3754.54908199961,1567.7189948824812,4492.368156150408,3951.1885075649802,3722.656863142467,1400.4760818504935,1780.8928306703556,3910.0221978433588,2460.7740706952745,1672.685311564544,3034.749533687379,3658.1720302036624,2843.0369531979654
718.0,4019.1814568520285,3471.8729616718138,3148.039377810458,4290.7032608966,1261.944992761657,1906.4148200014276,2044.5320647288258,421.74982784321315,1993.4796244588308,1669.792920335746,1624.4464524694995,3133.4041405486664,908.0154553845864,2160.6937286417583,2820.3331462701653,1897.675406483438,3954.5906890008187,3724.1987432314922,2888.258966215759,1931.5702229066228,3752.4935477355834,2193.7792512678284,1373.975459208639,1718.8381600414548,3992.135279972631,3325.474364049539,3967.248570161801,2924.792960039749,1311.1069866429252,2035.2673185558147,2251.2280839703435,4085.478794136324,3794.800970171437,1475.469379282877,1994.3099279204523,1889.2459847425223,3851.7154322072597,3756.4227497158813,1566.419158212311,4495.071935843889,3953.531447747669,3724.5305310160084,1397.8195447258172,1779.4989832952042,3913.017866897312,2460.9352132383424,1670.26592066813,3036.52338477762,3661.0851549744907,2843.7536847164474
719.0,4016.1863115884794,3471.702360235008,3149.0720671507743,4293.519917199097,1259.2580490737607,1905.0805285722133,2043.8945123031856,418.8183560448565,1991.4016046953866,1667.6291657603065,1622.0270615730856,3135.1779916389073,905.0601819102263,2160.1776291438473,2821.881342924882,1895.1057592083584,3956.9336294209907,3726.0724108080713,2889.8071628704756,1929.0005756315431,3755.490334493548,2193.6404379857254,1371.3189220839627,1717.4443126663034,3989.140134709082,3325.3037626127334,3969.726164546021,2926.484564623356,1308.420042955029,2033.9330271266003,2251.361667632677,4088.475818561509,3797.383272954699,1473.9423847394828,1991.9691506265654,1887.3696154663871,3854.0583725158535,3758.2964174319845,1565.1193215421408,4497.77571553737,3955.874387941699,3726.404198875369,1395.1630076011409,1778.1051359200528,3916.0135359512656,2461.0963557814102,1667.8465297717162,3038.2972358678608,3663.998279745319,2844.4704162349294
720.0,4013.1911663249302,3471.5317587982026,3150.1047564910905,4296.336573501594,1256.5711053858645,1903.746237142999,2043.2569598775453,415.88688424649985,1989.3235849319424,1665.465411184867,1619.6076706766717,3136.951842729148,902.1049084358663,2159.6615296459363,2823.429539579599,1892.5361119332788,3959.276569831344,3727.946078396928,2891.3553595251924,1926.4309283564635,3758.4871212515122,2193.5016247036224,1368.6623849592863,1716.050465291152,3986.1449894455327,3325.133161175928,3972.2037589302413,2928.1761692069636,1305.7330992671327,2032.598735697386,2251.4952512950103,4091.4728429866946,3799.965575737961,1472.4153901960885,1989.6283733326784,1885.493246190252,3856.40131282457,3760.170085147934,1563.8194848719706,4500.479495230851,3958.2173281460587,3728.2778667218117,1392.5064704764645,1776.7112885449014,3919.009205005219,2461.257498324478,1665.4271388753023,3040.0710869581017,3666.9114045161473,2845.1871477534114
721.0,4010.196021061381,3471.361157361397,3151.1374458314067,4299.153229804091,1253.8841616979682,1902.4119457137847,2042.619407451905,412.9554124481432,1987.2455651684982,1663.3016566094275,1617.1882797802577,3138.725693819389,899.1496349615062,2159.1454301480253,2824.9777362343157,1889.9664646581991,3961.619510232754,3729.819745996969,2892.903556179909,1923.8612810813838,3761.4839080094766,2193.3628114215194,1366.00584783461,1714.6566179160006,3983.1498441819836,3324.9625597391223,3974.6813533144614,2929.867773790571,1303.0461555792365,2031.2644442681717,2251.6288349573438,4094.46986741188,3802.547878521223,1470.8883956526943,1987.2875960387914,1883.6168769141168,3858.744253133398,3762.043752863744,1562.5196482018005,4503.183274924332,3960.560268359828,3730.1515345564885,1389.8499333517882,1775.31744116975,3922.0048740591724,2461.418640867546,1663.0077479788883,3041.8449380483426,3669.8245292869756,2845.9038792718934
722.0,4007.200875797832,3471.1905559245915,3152.170135171723,4301.969886106588,1251.197218010072,1901.0776542845704,2041.9818550262648,410.02394064978654,1985.167545405054,1661.137902033988,1614.7688888838438,3140.49954490963,896.1943614871461,2158.6293306501143,2826.5259328890324,1887.3968173831195,3963.9624506260166,3731.693413607197,2894.451752834626,1921.2916338063042,3764.480694767441,2193.2239981394164,1363.3493107099337,1713.2627705408493,3980.1546989184344,3324.7919583023167,3977.1589476986815,2931.5593783741783,1300.3592118913402,2029.9301528389574,2251.762418619677,4097.466891837065,3805.130181304485,1469.3614011093,1984.9468187449045,1881.7405076379816,3861.087193442328,3763.9174205794266,1561.2198115316303,4505.887054617813,3962.903208582169,3732.025202380447,1387.1933962271119,1773.9235937945987,3925.000543113126,2461.579783410614,1660.5883570824744,3043.6187891385835,3672.737654057804,2846.6206107903754
723.0,4004.205730534283,3471.019954487786,3153.202824512039,4304.786542409085,1248.5102743221757,1899.743362855356,2041.3443026006246,407.0924688514299,1983.0895256416097,1658.9741474585485,1612.34949798743,3142.273395999871,893.239088012786,2158.1132311522033,2828.074129543749,1884.8271701080398,3966.3053910118583,3733.567081226705,2895.9999494893427,1918.7219865312245,3767.4774815254054,2193.0851848573134,1360.6927735852573,1711.8689231656979,3977.1595536548853,3324.621356865511,3979.6365420829015,2933.2509829577857,1297.672268203444,2028.595861409743,2251.8960022820106,4100.463916262251,3807.7124840877473,1467.8344065659057,1982.6060414510175,1879.8641383618465,3863.4301337513507,3765.791088294993,1559.91997486146,4508.590834311294,3965.2461488123176,3733.8988701946423,1384.5368591024355,1772.5297464194473,3927.996212167079,2461.7409259536817,1658.1689661860605,3045.3926402288243,3675.650778828632,2847.3373423088574
